,Reports
2018-08-15,截至二零一八年六月三十日止三个月及六个月业绩公布【PDF file】
2018-05-16,截至二零一八年三月三十一日止三个月业绩公布【PDF】
2018-03-21,截至二零一七年十二月三十一日止年度全年业绩公布【PDF file】
2017-11-15,截至二零一七年九月三十日止三个月及九个月业绩公布【PDF file】
2017-08-16,截至二零一七年六月三十日止三个月及六个月业绩公布【PDF file】
2017-05-17,截至二零一七年三月三十一日止三个月业绩公布【PDF file】
2017-03-22,截至二零一六年十二月三十一日止年度全年业绩公布【PDF file】
2016-11-16,截至二零一六年九月三十日止三个月及九个月业绩公布【PDF file】
2016-08-17,截至二零一六年六月三十日止三个月及六个月业绩公布【PDF file】
2016-05-18,截至二零一六年三月三十一日止三个月业绩公布【PDF file】
2016-03-17,截至二零一五年十二月三十一日止年度全年业绩公布【PDF file】
2015-11-10,截至二零一五年九月三十日止三个月及九个月业绩公布【PDF file】
2015-08-12,截至二零一五年六月三十日止三个月及六个月业绩公布【PDF file】
2015-05-13,截至二零一五年三月三十一日止三个月业绩公布【PDF file】
2015-03-18,截至二零一四年十二月三十一日止年度全年业绩公布【PDF file】
2014-11-12,截至二零一四年九月三十日止三个月及九个月业绩公布【PDF file】
2014-08-13,截至二零一四年六月三十日止三个月及六个月业绩公布【PDF file】
2014-05-14,截至二零一四年三月三十一日止三个月业绩公布【PDF file】
2014-03-19,截至二零一三年十二月三十一日止年度全年业绩公布【PDF file】
2013-11-13,截至二零一三年九月三十日止三个月及九个月业绩公布【PDF file】
2013-08-14,截至二零一三年六月三十日止三个月及六个月业绩公布【PDF file】
2013-05-15,截至二零一三年三月三十一日止三个月业绩公布【PDF file】
2013-03-20,截至二零一二年十二月三十一日止年度全年业绩公布【PDF file】
2012-11-14,截至二零一二年九月三十日止三个月及九个月业绩公布【PDF file】
2012-08-15,截至二零一二年六月三十日止三个月及六个月业绩公布【PDF file】
2012-05-16,截至二零一二年三月三十一日止三个月业绩公布【PDF file】
2012-03-14,截至二零一一年十二月三十一日止年度全年业绩公布【PDF file】
2011-11-09,截至二零一一年九月三十日止三个月及九个月业绩公布【PDF file】
2011-08-10,截至二零一一年六月三十日止三个月及六个月业绩公布【PDF file】
2011-05-11,2011年第一季度业绩公布【PDF file】
2011-03-16,2010年第四季度及全年业绩公布 【PDF file】
2010-11-10,截至二零一零年九月三十日止三个月及九个月业绩公布 【PDF file】
2010-08-11,截至二零一零年六月三十日止三个月及六个月业绩公布 【PDF file】
2010-05-12,2010年第一季度业绩公布 【PDF file】
2010-03-17,2009年第四季度及全年业绩公布 【PDF file】
2009-11-11,截至二零零九年九月三十日止三个月及九个月业绩公布 【PDF file】
2009-08-12,截至二零零九年六月三十日止三个月及六个月业绩公布 【PDF file】
2009-05-13,2009年第一季度业绩公布 【PDF file】
2009-03-18,2008年第四季度及全年业绩公布 【PDF file】
2008-11-12,2008年第三季度业绩公布 【PDF file】
2008-08-13,2008年第二季度及中期业绩公布 【PDF file】
2008-05-14,2008年第一季度业绩公布 【PDF file】
2008-03-19,2007年第四季度及全年业绩公布 【PDF file】
2007-08-15,2007年第二季度及中期业绩公布 【PDF file】
2007-05-16,2007年第一季度业绩公布 【PDF file】
2007-03-21,2006年第四季度及全年业绩公布 【PDF file】
2006-11-23,2006年第三季度业绩公布 【PDF file】
2006-08-24,2006年第二季度及中期业绩公布 【PDF file】
2006-05-25,2006年第一季度业绩公布 【PDF file】
2006-03-23,2005年第四季度及全年业绩公布 【PDF file】
2005-11-24,2005年第三季度业绩公布【PDF file】
2005-08-25,2005年第二季度及中期业绩公布【PDF file】
2005-05-19,2005年第一季度业绩公布【PDF file】
2005-03-18,2004年第四季度及全年业绩公布【PDF file】
2004-11-19,2004年第三季度业绩公布【PDF file】 
2004-08-20,2004年半年度业绩公布【PDF file】 
