Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,1.67,1.76,1.67,1.74,1.5715540000000001,44260000
2006-01-04,1.76,1.83,1.75,1.81,1.6347770000000001,36727190
2006-01-05,1.82,1.83,1.74,1.78,1.607682,16782730
2006-01-06,1.78,1.89,1.75,1.88,1.6980009999999999,25285000
2006-01-09,1.88,1.91,1.87,1.91,1.725097,51226910
2006-01-10,1.9,1.92,1.87,1.88,1.6980009999999999,14314410
2006-01-11,1.88,1.88,1.85,1.86,1.6799369999999998,7260000
2006-01-12,1.86,1.96,1.86,1.95,1.761225,33645000
2006-01-13,1.97,2.03,1.94,2.0,1.806384,26935950
2006-01-16,2.0,2.11,1.99,2.11,1.905735,30525000
2006-01-17,2.11,2.14,1.98,2.03,1.83348,33499415
2006-01-18,2.0,2.04,1.96,1.99,1.797352,17351000
2006-01-19,2.0,2.03,1.98,2.01,1.815416,8170000
2006-01-20,2.0,2.08,1.96,1.99,1.797352,7295000
2006-01-23,1.94,1.94,1.89,1.93,1.743161,28940000
2006-01-24,1.95,1.98,1.9,1.95,1.761225,36054580
2006-01-25,1.96,2.03,1.96,1.97,1.779289,6720000
2006-01-26,2.0,2.0,1.93,1.95,1.761225,8010000
2006-01-27,1.95,2.0,1.94,2.0,1.806384,8870000
2006-02-01,2.03,2.07,1.99,2.04,1.842512,20985000
2006-02-02,2.08,2.09,1.97,1.98,1.7883200000000001,15070000
2006-02-03,1.98,1.99,1.96,1.99,1.797352,9230000
2006-02-06,1.99,2.05,1.98,2.05,1.8515439999999999,15077185
2006-02-07,2.04,2.09,2.0,2.01,1.815416,10554675
2006-02-08,2.02,2.02,1.93,2.0,1.806384,31745000
2006-02-09,2.0,2.01,1.96,1.98,1.7883200000000001,15750000
2006-02-10,1.98,2.01,1.98,2.01,1.815416,11230000
2006-02-13,2.02,2.04,2.0,2.0,1.806384,14470000
2006-02-14,2.0,2.03,1.99,2.01,1.815416,9082310
2006-02-15,2.03,2.03,1.99,2.01,1.815416,6897500
2006-02-16,2.04,2.16,2.02,2.12,1.9147669999999999,24090000
2006-02-17,2.13,2.15,2.08,2.13,1.9237990000000005,13067790
2006-02-20,2.13,2.28,2.12,2.25,2.032182,29340000
2006-02-21,2.24,2.24,2.16,2.22,2.005086,7750405
2006-02-22,2.21,2.25,2.21,2.23,2.014118,3750000
2006-02-23,2.22,2.22,2.16,2.16,1.950895,5950000
2006-02-24,2.16,2.16,2.08,2.08,1.878639,10733790
2006-02-27,2.08,2.1,2.06,2.06,1.8605759999999998,8580000
2006-02-28,2.08,2.12,2.07,2.1,1.8967029999999998,18035000
2006-03-01,2.09,2.17,2.07,2.16,1.950895,19435000
2006-03-02,2.17,2.2,2.1,2.13,1.9237990000000005,16270000
2006-03-03,2.11,2.12,2.04,2.07,1.8696080000000002,14020000
2006-03-06,2.07,2.07,2.01,2.02,1.8244479999999998,11295000
2006-03-07,2.08,2.08,2.01,2.01,1.815416,10265000
2006-03-08,2.01,2.01,1.96,1.98,1.7883200000000001,18305000
2006-03-09,2.0,2.02,1.99,1.99,1.797352,8975000
2006-03-10,1.97,2.0,1.97,1.99,1.797352,2885000
2006-03-13,2.02,2.08,2.0,2.07,1.8696080000000002,9375000
2006-03-14,2.1,2.13,2.05,2.1,1.8967029999999998,10965000
2006-03-15,2.1,2.19,2.1,2.16,1.950895,22777500
2006-03-16,2.16,2.22,2.16,2.2,1.987023,32935430
2006-03-17,2.18,2.24,2.15,2.15,1.9418630000000001,30495000
2006-03-20,2.18,2.22,2.12,2.2,1.987023,11525000
2006-03-21,2.19,2.19,2.15,2.17,1.959927,19612500
2006-03-22,2.17,2.18,2.04,2.05,1.8515439999999999,38900000
2006-03-23,2.24,2.32,2.2,2.31,2.086374,56587000
2006-03-24,2.39,2.47,2.39,2.4,2.167661,71034465
2006-03-27,2.4,2.41,2.36,2.4,2.167661,12840000
2006-03-28,2.46,2.52,2.4,2.51,2.267012,22971085
2006-03-29,2.51,2.72,2.51,2.7,2.4386189999999996,32250000
2006-03-30,2.68,2.71,2.63,2.65,2.393459,18695190
2006-03-31,2.65,2.65,2.59,2.61,2.3573310000000003,21495000
2006-04-03,2.61,2.66,2.56,2.61,2.3573310000000003,31235645
2006-04-04,2.61,2.76,2.61,2.75,2.483778,19148250
2006-04-06,2.75,2.75,2.65,2.71,2.447651,25070000
2006-04-07,2.73,2.83,2.72,2.8,2.528938,31325000
2006-04-10,2.83,3.06,2.74,3.0,2.7095759999999998,28420000
2006-04-11,3.0,3.0,2.77,2.8,2.528938,29049835
2006-04-12,2.78,2.9,2.76,2.9,2.619257,22035000
2006-04-13,2.9,2.9,2.81,2.82,2.547002,16655000
2006-04-18,2.81,3.02,2.81,3.01,2.718608,35630000
2006-04-19,3.02,3.03,2.99,3.03,2.736672,30028700
2006-04-20,3.0,3.05,2.9,3.02,2.72764,28425000
2006-04-21,3.02,3.15,2.91,3.03,2.736672,14705000
2006-04-24,3.02,3.04,2.9,2.9,2.619257,7390000
2006-04-25,2.92,2.96,2.77,2.77,2.501842,19410000
2006-04-26,2.78,2.91,2.78,2.87,2.592161,8300000
2006-04-27,2.88,3.03,2.88,2.99,2.700544,11100000
2006-04-28,2.99,3.14,2.86,3.13,2.826991,12872500
2006-05-02,3.14,3.23,3.05,3.12,2.817959,26111600
2006-05-03,3.06,3.2,3.06,3.12,2.817959,5890000
2006-05-04,3.12,3.14,3.07,3.12,2.817959,4855000
2006-05-08,3.12,3.14,3.11,3.12,2.817959,11155000
2006-05-09,3.12,3.22,3.12,3.16,2.854087,24720000
2006-05-10,3.2,3.39,3.18,3.18,2.87215,27325000
2006-05-11,3.2,3.27,3.2,3.21,2.8992459999999998,15484900
2006-05-12,3.16,3.21,3.07,3.07,2.772799,22340500
2006-05-15,3.08,3.08,2.96,2.99,2.700544,12421000
2006-05-16,2.96,2.97,2.91,2.96,2.673449,9060000
2006-05-17,2.95,3.03,2.95,3.03,2.736672,14842250
2006-05-18,2.9,2.96,2.88,2.9,2.619257,7660000
2006-05-19,2.9,3.06,2.9,3.01,2.718608,31694500
2006-05-22,3.0,3.01,2.85,2.91,2.628289,10345000
2006-05-23,2.81,2.95,2.81,2.92,2.637321,22083330
2006-05-24,2.95,3.0,2.87,2.91,2.628289,6505000
2006-05-25,3.44,3.68,3.42,3.55,3.206332,102664275
2006-05-26,3.57,3.64,3.5,3.51,3.170204,34511210
2006-05-29,3.51,3.54,3.34,3.34,3.016661,26240000
2006-05-30,3.34,3.47,3.32,3.36,3.034725,20238305
2006-06-01,3.36,3.61,3.34,3.59,3.242459,34190500
2006-06-02,3.57,3.57,3.42,3.46,3.125044,23650000
2006-06-05,3.46,3.55,3.46,3.52,3.179236,10790000
2006-06-06,3.53,3.62,3.48,3.51,3.170204,18736055
2006-06-07,3.53,3.53,3.24,3.3,2.9805330000000003,27510000
2006-06-08,3.29,3.29,3.11,3.17,2.8631189999999997,34285000
2006-06-09,3.18,3.28,3.18,3.26,2.9444060000000003,20665000
2006-06-12,3.3,3.52,3.28,3.47,3.134077,21375000
2006-06-13,3.26,3.26,3.07,3.17,2.8631189999999997,49660000
2006-06-14,3.14,3.14,2.88,3.01,2.718608,33560000
2006-06-15,3.02,3.08,2.99,3.06,2.7637669999999996,25525000
2006-06-16,3.18,3.25,3.1,3.16,2.854087,37220000
2006-06-19,3.16,3.16,3.07,3.14,2.836023,6835000
2006-06-20,3.1,3.1,2.94,3.01,2.718608,20462500
2006-06-21,3.0,3.16,2.98,3.11,2.808927,11430000
2006-06-22,3.2,3.24,3.13,3.16,2.854087,9065000
2006-06-23,3.07,3.16,3.07,3.09,2.790864,2480000
2006-06-26,3.13,3.13,3.03,3.09,2.790864,5915000
2006-06-27,3.1,3.1,2.99,3.02,2.72764,10685520
2006-06-28,2.97,3.02,2.97,3.02,2.72764,9330000
2006-06-29,3.13,3.14,3.02,3.12,2.817959,12869110
2006-06-30,3.2,3.28,3.19,3.28,2.96247,32570010
2006-07-03,3.24,3.24,3.13,3.17,2.8631189999999997,8226380
2006-07-04,3.2,3.23,3.14,3.14,2.836023,4187500
2006-07-05,3.15,3.23,3.14,3.2,2.890215,7635000
