"日期","最新","開市","高","低","成交量","更改%"
"2018年7月24日","375.20","374.00","375.60","371.80","20.86M","1.13%"
"2018年7月23日","371.00","377.60","377.60","369.20","19.94M","-1.49%"
"2018年7月20日","376.60","375.80","377.60","371.60","17.08M","0.27%"
"2018年7月19日","375.60","378.00","380.60","375.20","10.49M","-0.63%"
"2018年7月18日","378.00","380.40","383.00","376.00","13.20M","0.59%"
"2018年7月17日","375.80","380.00","380.60","375.00","15.54M","-1.47%"
"2018年7月16日","381.40","383.60","386.20","380.40","11.04M","0.10%"
"2018年7月13日","381.00","386.80","386.80","380.00","12.24M","0.26%"
"2018年7月12日","380.00","378.00","384.80","376.80","15.50M","0.16%"
"2018年7月11日","379.40","378.00","382.20","375.00","24.52M","-1.91%"
"2018年7月10日","386.80","396.00","398.00","386.20","26.79M","-2.32%"
"2018年7月9日","396.00","394.20","398.00","392.20","18.37M","2.43%"
"2018年7月6日","386.60","387.00","389.20","380.40","18.00M","0.26%"
"2018年7月5日","385.60","383.00","388.00","379.20","13.98M","0.68%"
"2018年7月4日","383.00","389.20","390.80","381.80","15.07M","-2.00%"
"2018年7月3日","390.80","395.00","395.00","381.60","25.64M","-0.76%"
"2018年6月29日","393.80","380.00","393.80","380.00","28.31M","3.91%"
"2018年6月28日","379.00","375.00","382.40","373.40","27.51M","0.42%"
"2018年6月27日","377.40","386.00","387.60","377.40","28.08M","-2.23%"
"2018年6月26日","386.00","384.00","390.40","380.00","29.83M","-0.72%"
"2018年6月25日","388.80","395.00","397.80","388.40","21.69M","-2.16%"
"2018年6月22日","397.40","395.60","400.40","391.20","20.17M","0.15%"
"2018年6月21日","396.80","404.40","405.00","396.20","20.16M","-0.85%"
"2018年6月20日","400.20","400.00","404.60","397.40","22.96M","0.86%"
"2018年6月19日","396.80","410.00","410.00","395.20","34.55M","-3.22%"
"2018年6月15日","410.00","416.00","417.00","408.40","23.18M","-0.49%"
"2018年6月14日","412.00","417.60","417.60","408.60","17.69M","-0.77%"
"2018年6月13日","415.20","420.00","420.00","415.00","12.21M","-0.53%"
"2018年6月12日","417.40","420.40","422.40","416.20","12.36M","-0.38%"
"2018年6月11日","419.00","420.00","421.00","415.60","15.48M","0.96%"
"2018年6月8日","415.00","426.60","426.60","412.60","28.93M","-3.31%"
"2018年6月7日","429.20","431.00","431.60","425.80","24.69M","0.99%"
"2018年6月6日","425.00","421.20","425.00","420.80","23.22M","1.19%"
"2018年6月5日","420.00","418.80","420.00","415.40","25.88M","1.20%"
"2018年6月4日","415.00","413.00","415.00","408.80","31.28M","2.72%"
"2018年6月1日","404.00","401.60","404.00","398.20","23.15M","1.20%"
"2018年5月31日","399.20","396.80","401.80","395.20","36.77M","1.06%"
"2018年5月30日","395.00","400.20","400.20","395.00","23.25M","-1.74%"
"2018年5月29日","402.00","403.80","406.20","402.00","12.13M","-0.79%"
"2018年5月28日","405.20","407.60","407.60","401.20","13.39M","0.30%"
"2018年5月25日","404.00","403.00","407.60","401.60","16.75M","-0.74%"
"2018年5月24日","407.00","411.00","411.40","402.60","17.16M","0.00%"
"2018年5月23日","407.00","412.80","414.40","407.00","24.57M","-0.25%"
"2018年5月21日","408.00","416.60","418.00","408.00","21.44M","-0.73%"
"2018年5月18日","411.00","414.20","415.00","408.00","21.41M","0.00%"
"2018年5月17日","411.00","424.00","424.20","409.20","69.10M","3.74%"
"2018年5月16日","396.20","398.60","398.80","390.60","29.61M","-0.45%"
"2018年5月15日","398.00","411.80","412.60","398.00","33.14M","-3.35%"
"2018年5月14日","411.80","415.00","416.80","409.00","20.83M","0.73%"
"2018年5月11日","408.80","412.00","415.00","408.00","24.70M","0.64%"
"2018年5月10日","406.20","399.00","406.60","398.00","31.12M","2.94%"
"2018年5月9日","394.60","395.00","396.80","390.60","20.94M","1.02%"
"2018年5月8日","390.60","384.00","393.60","382.00","33.39M","2.79%"
"2018年5月7日","380.00","388.00","388.80","375.40","34.27M","-0.73%"
"2018年5月4日","382.80","389.60","389.60","382.00","19.33M","-0.57%"
"2018年5月3日","385.00","389.40","390.60","384.40","23.91M","-2.14%"
"2018年5月2日","393.40","391.00","396.80","391.00","19.20M","0.61%"
"2018年4月30日","391.00","392.40","393.60","389.20","12.88M","0.67%"
"2018年4月27日","388.40","390.00","390.80","383.00","26.45M","1.62%"
"2018年4月26日","382.20","388.00","390.60","377.20","34.96M","-1.19%"
"2018年4月25日","386.80","390.80","393.00","384.80","34.82M","-2.47%"
"2018年4月24日","396.60","396.60","399.40","394.20","14.52M","0.66%"
"2018年4月23日","394.00","397.60","400.20","393.60","19.32M","-1.55%"
"2018年4月20日","400.20","406.00","406.80","398.40","18.11M","-1.38%"
"2018年4月19日","405.80","404.00","407.20","400.60","21.81M","1.45%"
"2018年4月18日","400.00","404.20","405.00","393.40","28.12M","0.70%"
"2018年4月17日","397.20","403.20","406.60","395.00","28.41M","-1.44%"
"2018年4月16日","403.00","406.80","407.80","399.20","24.90M","-1.23%"
"2018年4月13日","408.00","416.60","416.80","407.20","19.57M","-1.26%"
"2018年4月12日","413.20","422.40","423.60","408.80","20.60M","-1.53%"
"2018年4月11日","419.60","421.00","425.60","417.20","23.91M","0.58%"
"2018年4月10日","417.20","413.00","418.60","409.40","25.58M","1.76%"
"2018年4月9日","410.00","408.00","414.60","404.20","21.22M","1.03%"
"2018年4月6日","405.80","404.80","409.60","400.40","26.59M","2.06%"
"2018年4月4日","397.60","408.20","412.00","397.60","35.86M","-2.88%"
"2018年4月3日","409.40","404.60","412.40","400.60","32.89M","-0.05%"
"2018年3月29日","409.60","414.00","417.00","405.20","41.12M","-0.63%"
"2018年3月28日","412.20","420.00","427.40","411.40","48.96M","-4.63%"
"2018年3月27日","432.20","435.20","438.60","430.20","42.64M","1.31%"
"2018年3月26日","426.60","419.40","431.00","412.40","47.30M","1.57%"
"2018年3月23日","420.00","405.00","424.80","405.00","308.44M","-4.42%"
"2018年3月22日","439.40","451.60","459.00","438.60","71.85M","-5.02%"
"2018年3月21日","462.60","472.20","475.60","460.60","28.24M","-0.86%"
"2018年3月20日","466.60","456.40","468.40","456.00","21.95M","1.04%"
"2018年3月19日","461.80","465.00","470.40","461.80","16.29M","-0.73%"
"2018年3月16日","465.20","467.00","472.80","465.20","23.90M","-0.73%"
"2018年3月15日","468.60","459.20","470.00","458.00","24.70M","1.08%"
"2018年3月14日","463.60","457.40","463.80","453.60","22.61M","0.17%"
"2018年3月13日","462.80","460.00","462.80","455.80","18.50M","0.61%"
"2018年3月12日","460.00","455.40","460.00","454.80","25.51M","2.91%"
"2018年3月9日","447.00","445.00","448.20","445.00","13.03M","0.90%"
"2018年3月8日","443.00","440.00","444.00","438.00","17.51M","2.03%"
"2018年3月7日","434.20","435.20","441.20","430.00","19.26M","-1.00%"
"2018年3月6日","438.60","435.00","444.00","430.00","24.81M","3.20%"
"2018年3月5日","425.00","436.00","439.60","425.00","24.04M","-2.52%"
"2018年3月2日","436.00","437.00","440.60","436.00","25.89M","-2.46%"
"2018年3月1日","447.00","430.00","447.40","428.00","27.11M","3.42%"
